id,area_px,perimetro_px,excentricidad,solidez,diametro_equiv,intensidad_media,intensidad_min,intensidad_max,centroide_x,centroide_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2
1,1388.0,142.71067811865476,0.7001942373088683,0.9692737430167597,42.038749839789546,53.0835734870317,2.0,209.0,143.62824207492795,347.2377521613833,123,323,164,370
2,1662.0,155.6812408671319,0.7033863623118256,0.9674039580908033,46.00134914706133,55.6107099879663,5.0,201.0,226.19434416365823,405.79723225030085,201,383,253,429
3,1099.0,129.29646455628165,0.744479939283508,0.9589877835951134,37.40708836121763,57.86715195632393,2.0,193.0,284.2666060054595,332.5377616014559,267,311,303,356
4,1376.0,140.61017305526642,0.6761149905020982,0.9731258840169731,41.85663165563593,50.06904069767442,2.0,194.0,369.80595930232556,319.55232558139534,348,298,393,342
5,1309.0,135.88225099390857,0.6656564495288024,0.9739583333333334,40.82487677946288,49.61038961038961,1.0,207.0,417.49656226126814,127.07181054239878,394,110,440,148
6,1286.0,132.46803743153546,0.4060981190359703,0.9779467680608365,40.464627201166934,51.50077760497667,2.0,200.0,91.26283048211509,306.9657853810264,72,285,111,328
7,985.0,115.39696961966999,0.5569556748780794,0.9771825396825397,35.413852537730705,46.17157360406091,1.0,180.0,106.83350253807106,340.07106598984774,88,324,127,357
8,1501.0,144.71067811865476,0.6891848184410113,0.9797650130548303,43.71650210901461,54.091938707528314,1.0,225.0,425.22185209860095,230.78814123917388,404,207,446,254
9,1050.0,121.1543289325507,0.66847556861755,0.9767441860465116,36.56366395715726,50.53904761904762,1.0,213.0,179.00380952380954,393.44190476190477,161,376,199,412
10,1308.0,135.88225099390857,0.6312470413116055,0.9739389426656738,40.809279882320794,51.952599388379205,3.0,221.0,341.927370030581,345.9334862385321,324,322,361,369
11,1126.0,124.22539674441617,0.5538450118223553,0.9723661485319517,37.86380497746883,49.180284191829486,1.0,177.0,370.2424511545293,379.46802841918293,353,360,389,401
12,1555.0,147.63961030678928,0.45393054636408814,0.9730913642052565,44.495926690689096,60.54533762057878,4.0,239.0,406.7337620578778,195.41672025723472,387,173,429,220
13,962.0,117.25483399593904,0.5837747363342967,0.962,34.997949111844065,57.84823284823285,1.0,230.0,174.52182952182952,356.0997920997921,159,337,192,374
14,1415.0,144.95331880577405,0.6684448620809201,0.9593220338983051,42.445658856946196,58.923674911660775,3.0,239.0,296.8374558303887,122.59222614840989,276,100,318,148
15,1220.0,131.63961030678928,0.6364784461348445,0.9721115537848606,39.41258992475499,62.11967213114754,1.0,237.0,323.127868852459,192.97868852459015,306,171,342,216
16,1460.0,147.78174593052023,0.7383936157638591,0.9720372836218375,43.115307436145436,59.265068493150686,3.0,232.0,161.15684931506848,204.1164383561644,141,179,184,228
17,1322.0,135.05382386916236,0.5965386153678351,0.9770879526977088,41.02709687681892,59.21709531013616,5.0,206.0,206.03857791225417,372.0794251134644,188,350,225,396
18,1084.0,122.22539674441617,0.6251751438584848,0.9765765765765766,37.150930896720695,62.28874538745387,8.0,224.0,363.05535055350555,120.66512915129151,343,104,384,139
19,1746.0,159.095454429505,0.7214027048948717,0.9743303571428571,47.149509489575756,52.258304696449024,4.0,196.0,182.52004581901488,311.1575028636884,157,288,209,336
20,1507.0,145.78174593052023,0.6989163707276951,0.9817589576547231,43.803789720934994,56.22428666224287,3.0,227.0,304.0358327803583,359.8473788984738,283,335,324,385
21,936.0,111.9827560572969,0.29231210517826883,0.9770354906054279,34.52176435050956,69.39529914529915,5.0,237.0,104.9369658119658,272.9604700854701,87,256,123,290
22,1560.0,147.78174593052023,0.6793040262695886,0.9768315591734502,44.56740613707347,58.342948717948715,4.0,230.0,248.04423076923078,357.4320512820513,226,335,272,381
23,1097.0,124.5685424949238,0.7155426388590916,0.9759786476868327,37.37303547444967,60.48951686417502,3.0,250.0,275.8313582497721,82.75752051048313,255,67,299,99
24,979.0,114.22539674441617,0.42910011142252413,0.978021978021978,35.30582833323309,60.93973442288049,3.0,236.0,315.6598569969357,318.42492339121554,299,300,334,337
25,1287.0,136.46803743153546,0.622693269232114,0.9604477611940299,40.48035689163516,51.981351981351985,1.0,199.0,224.8912198912199,322.8508158508159,205,299,243,345
26,1520.0,145.88225099390854,0.5673828252741703,0.9781209781209781,43.992318738587166,58.257894736842104,4.0,233.0,332.0046052631579,149.7578947368421,312,126,353,174
