id,area_px,perimetro_px,excentricidad,solidez,diametro_equiv,intensidad_media,centroide_x,centroide_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2
1,1095.0,183.27922061357856,0.9828739869354902,0.8823529411764706,37.338951531678056,112.70228310502283,620.1187214611872,692.1570776255708,594,658,646,726
2,895.0,155.3380951166243,0.9708652974428614,0.8419567262464722,33.757212452126,142.17653631284915,420.36648044692737,735.8391061452514,393,714,452,754
3,768.0,147.92388155425118,0.9793169590063268,0.8982456140350877,31.270560761786875,108.8046875,722.3059895833334,585.8190104166666,703,558,742,614
4,750.0,141.78174593052023,0.9753559601108931,0.9282178217821783,30.90193616185517,150.388,912.64,295.184,885,279,941,312
5,912.0,169.23759005323592,0.9818870570672565,0.87776708373436,34.07630356711932,119.71491228070175,54.578947368421055,839.2006578947369,23,817,88,860
6,833.0,153.7228714274745,0.9792920936040568,0.875,32.56698544176895,143.87875150060023,288.12605042016804,74.31692677070828,263,51,316,100
7,780.0,150.40916292848976,0.978648181983562,0.8396124865446717,31.513915099419602,139.03076923076924,239.62179487179486,282.39230769230767,214,259,266,305
8,855.0,162.50966799187808,0.9787270163289581,0.8390578999018645,32.99423905394037,114.2187134502924,698.1847953216375,571.8397660818713,681,542,720,605
9,901.0,163.09545442950497,0.9776414729724271,0.8564638783269962,33.87017611123954,124.13762486126527,730.3806881243063,384.31076581576025,713,353,752,415
10,849.0,166.89444430272832,0.9820083407533233,0.7979323308270677,32.878265974350796,124.86925795053004,703.7820965842167,602.1012956419316,677,576,735,626
11,603.0,132.12489168102783,0.9786185174580321,0.8626609442060086,27.70854462932514,121.99336650082918,147.88059701492537,763.469320066335,122,747,173,779
12,728.0,140.22539674441617,0.9752899802021635,0.9088639200998752,30.445334430207833,153.90521978021977,375.657967032967,675.0686813186813,347,662,405,689
13,902.0,154.36753236814712,0.9701383472098729,0.9056224899598394,33.88896677904354,72.43126385809313,449.09423503325945,301.59977827051,419,287,480,320
14,909.0,157.09545442950497,0.9663064701242386,0.8130590339892666,34.02021084832166,85.97139713971397,921.6853685368537,537.2167216721672,892,520,950,561
15,1115.0,173.53910524340094,0.9730232626487215,0.8963022508038585,37.67840352748118,93.16053811659192,738.1560538116591,517.0116591928252,703,503,775,533
16,572.0,108.5685424949238,0.945102590391806,0.9210950080515298,26.986904594423443,138.57867132867133,223.41958041958043,531.6625874125874,204,518,244,546
17,842.0,154.61017305526642,0.978608542315072,0.9063509149623251,32.74244487919323,156.63182897862234,328.7125890736342,541.7874109263659,312,511,346,573
18,732.0,131.74011537017762,0.963113895927114,0.9014778325123153,30.52886088189566,158.73360655737704,693.5409836065573,149.23360655737704,666,138,721,162
19,651.0,118.42640687119285,0.9561290390073416,0.9273504273504274,28.79025779013781,121.82181259600614,610.5775729646697,763.5222734254992,587,754,637,774
20,640.0,121.59797974644665,0.9625366235187869,0.9103840682788051,28.54598585844434,122.8046875,631.7890625,781.640625,606,774,657,792
21,946.0,173.37972567696687,0.9814694381037232,0.8431372549019608,34.70568554746418,142.223044397463,581.5549682875264,642.6152219873151,553,618,613,671
