id,area_px,perimetro_px,excentricidad,solidez,diametro_equiv,intensidad_media
1,177.0,46.384776310850235,0.30112014196133235,0.9833333333333333,15.012108426804138,148.33333333333334
2,86.0,31.556349186104043,0.4837523597503237,0.9772727272727273,10.464157913908982,156.75581395348837
3,124.0,38.384776310850235,0.389452152772717,0.96875,12.565098628628435,149.2741935483871
4,118.0,36.97056274847714,0.20833755369709545,0.9833333333333333,12.257335203001883,138.78813559322035
5,219.0,52.62741699796952,0.3892102139820743,0.9690265486725663,16.698486766680407,124.38812785388127
6,105.0,37.3492424049175,0.5656590390076514,0.9292035398230089,11.562445770562215,151.04761904761904
7,58.0,25.31370849898476,0.4303613676427491,0.9830508474576272,8.593479713983122,126.53448275862068
8,89.0,34.384776310850235,0.4679853616943676,0.9270833333333334,10.645107772184812,136.75280898876406
9,110.0,37.21320343559643,0.4062111976068814,0.9401709401709402,11.834540545406394,152.9181818181818
10,301.0,62.2842712474619,0.4427749226918844,0.9616613418530351,19.576646877473273,145.19933554817277
11,111.0,37.55634918610404,0.6324178973633756,0.9568965517241379,11.888212206450685,144.72972972972974
12,109.0,35.55634918610404,0.4459537111484207,0.9819819819819819,11.780624362746345,124.94495412844037
13,86.0,34.14213562373095,0.6967536523021566,0.9052631578947369,10.464157913908982,130.2674418604651
14,88.0,32.14213562373095,0.46308466879401466,0.967032967032967,10.585134856802455,137.5681818181818
15,75.0,28.727922061357855,0.45818140097557564,1.0,9.772050238058398,144.2
16,140.0,40.97056274847714,0.19724603250184425,0.9722222222222222,13.351162356249091,136.25
17,83.0,31.556349186104043,0.44414302517581955,0.9431818181818182,10.280023453913834,144.12048192771084
18,264.0,60.87005768508881,0.5481256578660192,0.946236559139785,18.333991376950163,139.84848484848484
19,122.0,38.970562748477136,0.19806989995095348,0.953125,12.463355264843006,125.37704918032787
20,115.0,36.970562748477136,0.5233325200274426,0.9745762711864406,12.100518486599809,125.44347826086957
21,67.0,27.31370849898476,0.2981782810221271,0.9710144927536232,9.23618154310838,150.46268656716418
22,91.0,32.72792206135785,0.40131169908747377,0.9680851063829787,10.764051215546116,144.2087912087912
23,142.0,45.21320343559643,0.664726593862763,0.9161290322580645,13.446189622059965,139.8943661971831
24,346.0,69.94112549695427,0.4972154883898363,0.9376693766937669,20.98906578384008,143.3121387283237
25,104.0,36.14213562373095,0.5774476216546961,0.9541284403669725,11.507254783503184,142.20192307692307
26,51.0,24.14213562373095,0.5642893878505075,0.9444444444444444,8.058239062071396,111.13725490196079
27,43.0,23.31370849898476,0.6181312080383423,0.8958333333333334,7.399277020331919,138.41860465116278
28,164.0,48.04163056034262,0.7748038549799727,0.9371428571428572,14.450303987687134,187.22560975609755
29,74.0,30.14213562373095,0.47363157801277384,0.9135802469135802,9.706684619910241,122.86486486486487
30,80.0,31.31370849898476,0.5174062192186282,0.9411764705882353,10.092530088080641,132.825
31,73.0,28.727922061357855,0.39328534641617846,0.9733333333333334,9.640875829802336,147.05479452054794
32,55.0,25.31370849898476,0.3859338236809146,0.9166666666666666,8.368283871884005,131.76363636363635
33,176.0,48.62741699796952,0.5035412549615803,0.9361702127659575,14.96964127403822,138.0965909090909
34,148.0,42.384776310850235,0.2933656178535563,0.9736842105263158,13.727325035155395,150.93243243243242
35,133.0,41.55634918610404,0.665626788799758,0.9637681159420289,13.013103375051497,144.66165413533835
36,90.0,33.55634918610404,0.3773713740746772,0.9375,10.704744696916627,136.26666666666668
37,61.0,25.899494936611667,0.43349888216125704,0.9838709677419355,8.812923024107548,178.7377049180328
38,115.0,37.798989873223334,0.5282594132166443,0.9426229508196722,12.100518486599809,133.58260869565217
39,106.0,36.72792206135786,0.4686279647280427,0.9464285714285714,11.617374563210365,124.28301886792453
40,51.0,23.899494936611667,0.3228777476610405,0.9444444444444444,8.058239062071396,159.7450980392157
41,77.0,29.899494936611664,0.46488206195395304,0.9871794871794872,9.901487006738307,180.98701298701297
42,34.0,19.899494936611664,0.3043988887546609,0.8717948717948718,6.579524642479541,116.02941176470588
43,62.0,26.727922061357855,0.6170448812933997,0.96875,8.884866446580956,144.41935483870967
44,344.0,66.2842712474619,0.34222744095106716,0.9745042492917847,20.928315827817965,143.65406976744185
45,60.0,25.31370849898476,0.43936087067869883,1.0,8.740387444736633,123.38333333333334
46,120.0,38.970562748477136,0.6292805370581783,0.9375,12.360774464742066,179.46666666666667
47,32.0,17.65685424949238,0.0,1.0,6.383076486422923,119.9375
48,51.0,23.899494936611667,0.4476882086133298,0.9444444444444444,8.058239062071396,110.03921568627452
49,33.0,18.82842712474619,0.3280323158384448,0.9705882352941176,6.4820448144285745,114.63636363636364
50,52.0,25.31370849898476,0.6447859504934353,0.9122807017543859,8.136857890256438,100.90384615384616
51,45.0,22.48528137423857,0.34721169748471586,0.9375,7.569397566060481,137.35555555555555
52,28.0,16.485281374238568,0.6201736729460422,1.0,5.970821321441846,108.85714285714286
53,28.0,17.071067811865476,0.4822454755116751,0.9333333333333333,5.970821321441846,129.60714285714286
54,560.0,86.5269119345812,0.3917791049727975,0.9722222222222222,26.702324712498182,127.62678571428572
55,31.0,18.242640687119284,0.4197621584014565,0.9393939393939394,6.282549314314218,131.67741935483872
56,88.0,32.14213562373095,0.5022870464398876,0.967032967032967,10.585134856802455,123.67045454545455
57,25.0,16.485281374238568,0.23354158362849411,0.8928571428571429,5.641895835477563,122.96
58,36.0,20.242640687119284,0.4183338153550163,0.9473684210526315,6.770275002573076,123.55555555555556
59,58.0,26.14213562373095,0.4780858419195604,0.9354838709677419,8.593479713983122,114.25862068965517
60,32.0,17.65685424949238,0.0,1.0,6.383076486422923,97.21875
61,38.0,20.485281374238568,0.5796779604838896,0.926829268292683,6.955796338302048,112.0
