image,plate_A,plate_B,diff_pct,reliability
actinomicetos_1.jpeg,62,36,41.9%,REVISAR
actinomicetos_2.jpeg,62,36,41.9%,REVISAR
actinomicetos_3.jpeg,60,54,10.0%,CONFIABLE
actinomicetos_4.jpeg,50,74,32.4%,REVISAR
actinomicetos_5.jpeg,24,37,35.1%,REVISAR
actinomicetos_6.jpeg,55,39,29.1%,REVISAR
actinomicetos_7.jpeg,53,53,0.0%,CONFIABLE
actinomicetos_8.jpeg,31,19,38.7%,REVISAR
